id,img,label,text,set
23154,img/23154.png,0,this is my hobby to work on car engines,test
42806,img/42806.png,1,pakistanis when indian pages posts any posts,test
73056,img/73056.png,0,grandparents be like one little snack before you go home,test
69054,img/69054.png,0,when your crush says love girls who smoke,test
36947,img/36947.png,1,gays on social media: equality! body positivity! love love love! gays in real life: there is no place for her in our social circle,test
80927,img/80927.png,0,quit monkeying around,test
76320,img/76320.png,0,it's okay for you to believe what you believe it's not okay for you to demand other to believe the same way,test
54317,img/54317.png,1,it was real in my mind,test
60549,img/60549.png,0,trump better deal with these muslims before they kill me,test
05741,img/05741.png,0,during a speed chase which song are you blasting in your car ?,test
87953,img/87953.png,0,who said i couldn't do it ?,test
59726,img/59726.png,1,hello satan... they are mocking islam!,test
40761,img/40761.png,0,what do you call pool full of handicap people? vegetable soup,test
45301,img/45301.png,0,make america great again,test
23954,img/23954.png,0,senator for 36 years vice president for 8 blames trump for america's s problems,test
74956,img/74956.png,0,show me an american ghetto and i'll show you a place where democrats are in power,test
36075,img/36075.png,1,be happy you dont have neanderthal dna,test
64902,img/64902.png,0,i'm dreaming of a white christmas,test
75216,img/75216.png,0,want one as a slave when you watch how slow they work and you wonder why anyone would,test
13970,img/13970.png,0,the lie detector test determined that was a lie,test
62158,img/62158.png,1,we've been at peace with japan since 1945 time to make peace with islam,test
91356,img/91356.png,1,"women are like volcanoes. both stay calm for extended periods of time before exploding and killing everything in their path then, they're calm, again",test
45180,img/45180.png,0,"rep omar accuses trump of being 'bigoted' toward lgbt... do you agree with her, or is she out of her mind?",test
46013,img/46013.png,0,when you cant decide whether to feel sorry for this man or just hate him,test
65204,img/65204.png,0,wanna impress me bitch jump in the air and stay there,test
68739,img/68739.png,1,white people: all asians look the same also white people:,test
37491,img/37491.png,0,i've been here once they stole my stuff and claimed god gave it to them,test
25768,img/25768.png,0,don't let a disability stop you from being a sportsman,test
69042,img/69042.png,0,"did i just hear grandma tell me ""no""",test
09852,img/09852.png,1,all men should be disarmed preferably both arms,test
08761,img/08761.png,0,mental health is important,test
56179,img/56179.png,0,from no child left behind to no child left alive,test
57481,img/57481.png,0,muslims offend me,test
56081,img/56081.png,0,bruce jenner's cat,test
02914,img/02914.png,0,the only thing that hinders you is your own motivation,test
65073,img/65073.png,1,jews and americans will ruin the world,test
94065,img/94065.png,0,if yall daughters dancing like this.. they cant play with mines,test
70549,img/70549.png,0,the old lady shows arthur what she used to do during the war,test
54720,img/54720.png,0,when you feel the music in your soul and have to belt it out for the world to hear,test
16283,img/16283.png,0,pork is unclean? ever smell one of these goat fuckers?,test
94356,img/94356.png,0,an all female muslim rock band,test
91457,img/91457.png,0,"it's a simple grammar question leeroy! ""what cames at the end of a sentence?"" parole ?",test
06519,img/06519.png,1,moutain goats hide when they hear allah akbar because they here the goat fuckers are coming,test
57094,img/57094.png,0,my local mosque is really going all out for gay pride this year,test
59130,img/59130.png,0,joe biden fought side by side with racist robert bird to stop school desegregation! groper joe gave the eulogy at kkk leaders funeral..,test
25174,img/25174.png,0,"i'm just gonna file that under ""who give's a shit?""",test
28739,img/28739.png,0,10-year-old me: *is in gifted class* *reads at a high school level* *is pretty good at math* *has a bright future* depression: i'm about to end this man's whole career,test
32140,img/32140.png,0,got his house fumigated for termites got service connected for agent orange,test
16248,img/16248.png,1,for the many not the jew,test
31764,img/31764.png,1,"when the safe word is ""flower"" but she kept saying ""flour""",test
67014,img/67014.png,0,"""if i'm indicted, i'll take half of dc with me."" actually, i'll be sending half of dc with you",test
12576,img/12576.png,0,becky lemme smash,test
07318,img/07318.png,0,"you say i'm racist because i don't want illegals here? i have some news for you. ""illegal"" isn't a race, morons",test
23849,img/23849.png,0,guns don't kill people clintons kill people,test
85902,img/85902.png,0,"black peopple started wearing their pants low, white people called it ""saggin."" it has become a form of expression through fashion",test
30591,img/30591.png,0,i hate snow it's white and on my land,test
64287,img/64287.png,1,seriously mate... what's the fuckin point?,test
68429,img/68429.png,0,it doesn't matter if you unlike my picture i already got the notification,test
70923,img/70923.png,0,for someone somewhere in america today will be the last day they have ten fingers,test
87296,img/87296.png,1,"hates europeans, christians, buddhists, atheists, gays, dogs, ham, wine, beer, your civilization,your culture, your hates europeans, christians, buddhists, atheiests traditions, your country, and you.. complains about ""islamophobia""",test
54976,img/54976.png,0,"""life hack #23 how to get stoned with no weed""",test
92067,img/92067.png,0,"you will never see refugees from america. when things turn to shit, we don't run to another country. we dust off our guns and fix it",test
68324,img/68324.png,1,im living in downtown,test
71903,img/71903.png,0,i love pudding pudding my dick where it doesn't belong,test
26409,img/26409.png,0,they arent bad if you raise them properly same goes for pitbulls,test
70315,img/70315.png,0,i am a test dummy,test
71308,img/71308.png,0,looking for peace praying for peace,test
85461,img/85461.png,1,racing for pink slips in africa,test
02891,img/02891.png,1,look! a blow up doll!,test
34190,img/34190.png,0,"hitler, the leader of the nazi's",test
10732,img/10732.png,0,look dad im doing it you did it tyrone! you stole your first bike,test
28049,img/28049.png,0,mandatory work without exemptions. i do nazi see the problem..,test
68231,img/68231.png,0,meanwhile at the isis strip club,test
12694,img/12694.png,0,when your teacher has a monotone voice,test
50273,img/50273.png,0,"""where did you learn to make kool-aid like that britney?""",test
